date,region,product,channel,quantity,gross_revenue,discount,net_revenue
2026-08-01,North,Product A,Online,2,50000,5000,45000
2026-08-01,North,Product B,Online,1,15000,3000,12000
2026-08-01,South,Product A,Retail,3,75000,7500,67500
2026-08-01,South,Product C,Online,2,24000,2400,21600
2026-08-01,East,Product B,Partner,1,15000,1500,13500
2026-08-01,West,Product A,Online,2,50000,5000,45000
2026-08-02,North,Product A,Retail,1,25000,2500,22500
2026-08-02,North,Product B,Online,1,15000,3000,12000
2026-08-02,South,Product A,Online,2,50000,5000,45000
2026-08-02,South,Product D,Retail,3,24000,2400,21600
2026-08-03,East,Product A,Online,1,25000,2500,22500
2026-08-03,East,Product C,Partner,2,24000,2400,21600
2026-08-03,West,Product B,Online,1,15000,3000,12000
2026-08-03,West,Product D,Retail,2,16000,1600,14400
2026-08-04,North,Product A,Online,3,75000,7500,67500
2026-08-04,North,Product B,Online,2,30000,6000,24000
2026-08-04,South,Product A,Retail,1,25000,2500,22500
2026-08-04,South,Product C,Online,1,12000,1200,10800
2026-08-05,East,Product B,Online,1,15000,3000,12000
2026-08-05,East,Product D,Partner,1,8000,800,7200
2026-08-05,West,Product A,Online,2,50000,5000,45000
2026-08-05,West,Product B,Retail,1,15000,1500,13500
2026-08-06,North,Product A,Online,1,25000,2500,22500
2026-08-06,North,Product B,Online,1,15000,3000,12000
2026-08-06,South,Product A,Online,2,50000,5000,45000
2026-08-06,South,Product B,Retail,1,15000,1500,13500
2026-08-07,East,Product A,Online,1,25000,2500,22500
2026-08-07,East,Product B,Partner,1,15000,1500,13500
2026-08-07,West,Product C,Online,1,12000,1200,10800
2026-08-07,West,Product D,Retail,2,16000,1600,14400
2026-08-08,North,Product A,Retail,2,50000,5000,45000
2026-08-08,North,Product B,Online,1,15000,3000,12000
2026-08-08,South,Product A,Online,1,25000,2500,22500
2026-08-08,South,Product C,Online,2,24000,2400,21600
2026-08-09,East,Product A,Online,1,25000,2500,22500
2026-08-09,East,Product C,Partner,1,12000,1200,10800
2026-08-09,West,Product B,Online,2,30000,6000,24000
2026-08-09,West,Product D,Retail,1,8000,800,7200
2026-08-10,North,Product A,Online,3,75000,7500,67500
2026-08-10,North,Product B,Online,1,15000,3000,12000
2026-08-10,South,Product A,Retail,2,50000,5000,45000
2026-08-10,South,Product D,Online,1,8000,800,7200
2026-08-11,East,Product A,Online,1,25000,2500,22500
2026-08-11,East,Product B,Online,1,15000,3000,12000
2026-08-11,West,Product A,Retail,1,25000,2500,22500
2026-08-11,West,Product C,Online,1,12000,1200,10800
2026-08-12,North,Product A,Online,2,50000,5000,45000
2026-08-12,North,Product B,Online,1,15000,3000,12000
2026-08-12,South,Product A,Online,1,25000,2500,22500
2026-08-12,South,Product B,Retail,1,15000,1500,13500
2026-08-13,East,Product A,Partner,1,25000,2500,22500
2026-08-13,East,Product C,Online,2,24000,2400,21600
2026-08-13,West,Product B,Online,1,15000,3000,12000
2026-08-13,West,Product D,Retail,2,16000,1600,14400
2026-08-14,North,Product A,Online,1,25000,2500,22500
2026-08-14,North,Product B,Online,2,30000,6000,24000
2026-08-14,South,Product A,Online,1,25000,2500,22500
2026-08-14,South,Product C,Online,1,12000,1200,10800
2026-08-15,East,Product A,Online,1,25000,2500,22500
2026-08-15,East,Product D,Partner,1,8000,800,7200
2026-08-15,West,Product A,Online,2,50000,5000,45000
2026-08-15,West,Product B,Retail,1,15000,1500,13500
2026-08-16,North,Product A,Online,2,50000,5000,45000
2026-08-16,North,Product B,Online,1,15000,3000,12000
2026-08-16,South,Product A,Online,2,50000,5000,45000
2026-08-16,South,Product B,Retail,1,15000,1500,13500
2026-08-17,East,Product A,Online,1,25000,2500,22500
2026-08-17,East,Product B,Partner,1,15000,1500,13500
2026-08-17,West,Product C,Online,1,12000,1200,10800
2026-08-17,West,Product D,Retail,2,16000,1600,14400
2026-08-18,North,Product A,Retail,3,75000,7500,67500
2026-08-18,North,Product B,Online,1,15000,3000,12000
2026-08-18,South,Product A,Online,1,25000,2500,22500
2026-08-18,South,Product C,Online,2,24000,2400,21600
2026-08-19,East,Product A,Online,1,25000,2500,22500
2026-08-19,East,Product B,Online,1,15000,3000,12000
2026-08-19,West,Product A,Online,1,25000,2500,22500
2026-08-19,West,Product D,Retail,1,8000,800,7200
2026-08-20,North,Product A,Online,2,50000,5000,45000
2026-08-20,North,Product B,Online,1,15000,3000,12000
2026-08-20,South,Product A,Retail,1,25000,2500,22500
2026-08-20,South,Product D,Online,1,8000,800,7200
2026-08-21,East,Product A,Online,1,25000,2500,22500
2026-08-21,East,Product C,Partner,1,12000,1200,10800
2026-08-21,West,Product A,Online,2,50000,5000,45000
